"Institution","Course Number","Short Title1","Course Title","Instructors2","Course Launch Date"
"HarvardX","GOV1368.1x","EdPol-a2","Saving Schools: History, Politics, and Policy of U.S. Education: History and Politics in U.S. Education","Paul Peterson","10/1/2015"
"HarvardX","GOV1368.2x","EdPol-b2","Saving Schools: History, Politics, and Policy of U.S. Education: Teacher Policies","Paul Peterson","10/1/2015"
"HarvardX","GOV1368.3x","EdPol-c2","Saving Schools: History, Politics, and Policy of U.S. Education: Accountability and National Standards","Paul Peterson","10/1/2015"
"HarvardX","GOV1368.4x","EdPol-d2","Saving Schools: History, Politics, and Policy of U.S. Education: School Choice","Paul Peterson","10/1/2015"
"HarvardX","ER22x","Justice-3","Justice, v3","Michael Sandel","10/1/2015"
"HarvardX","MUS24x","MusicNights-a","First Nights: Handelâ€™s Messiah and Baroque Oratorio","Tom Kelly","11/16/2015"
"HarvardX","MUS24x","MusicNights-b","First Nights: Beethoven's 9th Symphony","Tom Kelly","1/21/2016"
"HarvardX","PH231x","ReadHealth","Readings in Global Health","David Hunter","1/25/2016"
"HarvardX","PH525.1x","Genomics-a3","Data Analysis for Life Sciences 1: Statistics and R [Data Analysis for Genomics]","Rafael Irizarry","10/15/2015"
"HarvardX","PH525.2x","Genomics-b3","Data Analysis for Life Sciences 2: Matrix Algebra and Linear Models [Data Analysis for Genomics]","Rafael Irizarry","11/15/2015"
"HarvardX","PH525.3x","Genomics-c3","Data Analysis for Life Sciences 3: Statistical Inference and Modeling for High-throughput Experiments [Data Analysis for Genomics]","Rafael Irizarry","12/15/2015"
"HarvardX","PH525.4x","Genomics-d3","Data Analysis for Life Sciences 4: Introduction to High-Dimensional Data Analysis [Data Analysis for Genomics]","Rafael Irizarry","1/15/2016"
"HarvardX","PH525.5x","Genomics-e3","Data Analysis for Life Sciences 5: Introduction to Bioconductor: annotation and analysis of genomes and genomic assays [Data Analysis for Genomics]","Rafael Irizarry","2/15/2016"
"HarvardX","PH556x","HealthCare","Practical Improvement Science in Health Care: A Roadmap for Getting Results","Don Goldmann (lead), Dave Williams (IHI), Don Berwick (IHI)","1/20/2016"
"HarvardX","PH557x","Pandemic","Lessons from Ebola: Preventing the Next Pandemic","Ashish Jha","12/3/2015"
"HarvardX","SPU30x","AstroPhys-2","Super-Earths and Life, v2","Dimitar Sasselov","10/13/2015"
"HarvardX","SW12.10x","ChinaX-j2","China (Part 10): Greater China Today: The People's Republic, Taiwan, and Hong Kong","Peter Bol, Bill Kirby","11/2/2015"
"HarvardX","SW12.1x","ChinaX-a2","China (Part 1): Political and Intellectual Foundations: From the Sage Kings to Confucius and the Legalists","Peter Bol, Bill Kirby","10/27/2015"
"HarvardX","SW12.2x","ChinaX-b2","China (Part 2): The Creation and End of Centralized Empire","Peter Bol, Bill Kirby","10/27/2015"
"HarvardX","SW12.3x","ChinaX-c2","China (Part 3): Cosmopolitan Tang: Aristocratic Culture","Peter Bol, Bill Kirby","10/27/2015"
"HarvardX","SW12.4x","ChinaX-d2","China (Part 4): Literati China: Examinations and Neo-Confucianism","Peter Bol, Bill Kirby","10/27/2015"
"HarvardX","SW12.5x","ChinaX-e2","China (Part 5): From a Global Empire under the Mongols to a Global Economy under the Ming Dynasty","Peter Bol, Bill Kirby","10/27/2015"
"HarvardX","SW12.6x","ChinaX-f2","China (Part 6): The Manchus and the Qing Dynasty","Peter Bol, Bill Kirby","11/2/2015"
"HarvardX","SW12.7x","ChinaX-g2","China (Part 7): Invasions, Rebellions and the Fall of Imperial China","Peter Bol, Bill Kirby","11/2/2015"
"HarvardX","SW12.8x","ChinaX-h2","China (Part 8): Creating Modern China: The Birth of a Nation","Peter Bol, Bill Kirby","11/2/2015"
"HarvardX","SW12.9x","ChinaX-i2","China (Part 9): China and Communism","Peter Bol, Bill Kirby","11/2/2015"
"HarvardX","SW25x","BiosocHealth-2","Global Health Case Studies from a Biosocial Perspective, v2","Arthur Kleinman, Paul Farmer, Salmaan Keshavjee, Anne Becker","2/23/2016"
"HarvardX","HLS2x","Contracts-2","Contracts Law: From Trust to Promise to Contract, version 2","Charles Fried","1/7/2016"
"HarvardX","VJx","VisJapan-3","Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity","Andrew Gordon, John Dower (MIT), Shigeru Miyagawa (MIT)","11/10/2015"
"HarvardX","HAA1x","HAlumniX","HarvardX for Alumni: Explorations in Learning","Rob Lue","3/22/2014"
"HarvardX","HKS101A","AmGov","Introduction to American Government","Thomas Patterson","9/8/2015"
"HarvardX","VJx","VisJapan-2","Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity, v2","Andrew Gordon, John Dower (MIT), Shigeru Miyagawa (MIT)","9/15/2015"
"HarvardX","AI12.2x","Poetry-b1","Poetry in America: Whitman","Elisa New","1/15/2014"
"HarvardX","EMC2x","EinsteinX-1","The Einstein Revolution","Peter Galison","2/11/2015"
"HarvardX","HUM2.5x","Heroes-e3","The Ancient Greek Hero: Plato and Beyond [v3]","Gregory Nagy","11/12/2014"
"HarvardX","MCB63x","BioChem","Principles of Biochemistry","Alain Viel, Rachelle Gaudet","6/16/2015"
"HarvardX","SPU27x","SciCook-1","Science & Cooking: From Haute Cuisine to Soft Matter Science","Michael Brenner","10/8/2013"
"HarvardX","SPU27x","SciCook-2","Science and Cooking, v2","Michael Brenner","6/17/2015"
"HarvardX","SPU30x","AstroPhys-1","Super-Earths and Life, v2","Dimitar Sasselov","2/10/2015"
"HarvardX","USW30x","Tangible-2","Tangible Things, v2","Laurel Ulrich","8/5/2015"
"HarvardX","USW30x","Tangible-1","Tangible Things","Laurel Ulrich","6/2/2014"
"HarvardX","VJx","VisJapan-1","Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity","John W. Dower","9/3/2014"
"HarvardX","HDS1544.1x","ChristPaul","Early Christianity: The Letters of Paul","Laura Nasrallah","1/5/2014"
"HarvardX","AT1x","Anatomy","AnatomyX: Musculoskeletal Cases","Trudy Van Houten","9/30/2014"
"HarvardX","GSE1.1x","ImmunChange-2","Unlocking the Immunity to Change: A New Approach to Personal Improvement","Robert Kegan (Bob), Lisa Lahey","9/16/2014"
"HarvardX","GSE1x","ImmunChange-1","Unlocking the Immunity to Change","Robert Kegan, Lisa Lahey","3/11/2014"
"HarvardX","GSE2x","LeadLearn-1","Leaders of Learning","Richard Elmore","7/8/2014"
