"Category1","Median Participants","Median Explorers","Median Certified","Median % Explored","Median % Certified","Median % Certified of Explored","Median Total Hours (Thousands)","Median of Median Hours of Certified","Median % Residential Hours","Median % Female","Median % Bachelor's+","Median Median Age2","Median % Played Video","Median % Posted in Forum","Median % Grade > 0"
"HarvardX","5,309","1,663","502","28","11","40","20,034","12.34","22","44","76","31","68","12","19"
"MITx","10,837","1,398","498","17","6","34","55,197","59.39","50","20","69","27","65","6","20"
"Year 1","28,790","4,579","2,413","15","9","58","224,223","60.33","37","23","62","28","83","13","29"
"Year 2","16,352","2,551","1,486","17","6","45","76,623","27.25","32","36","74","30","70","11","27"
"Year 3","8,291","1,811","505","20","7","34","37,175","19.02","29","31","73","29","65","7","22"
"Year 4","4,212","922","266","25","8","32","21,107","25.29","53","34","73","28","63","6","14"
"HHRDE","4,608","1,209","443","27","11","44","18,567","11.85","26","47","75","33","69","13","19"
"GHSS","10,225","2,166","651","24","9","36","39,336","21.69","24","35","84","30","64","9","25"
"STEM","7,905","1,066","333","15","4","26","48,983","70.28","61","16","63","26","63","5","16"
"CS","21,040","3,266","1,523","16","6","48","178,153","48.96","48","17","64","27","69","6","26"
"Overall","7,902","1,517","500","20","8","36","37,711","26.46","41","33","73","29","66","7","20"
